Profile Name,,Left Joystick,,,,,,,,Comments
default.csv,,,,,,,,,,
PlayStation Outputs,Function,usb,,,,,,,,
increment_mode,normal,right_sip,,,,,,,,
decrement_mode,normal,right_puff,,,,,,,,
dpad_N,normal,,,,,,,,,
dpad_NE,normal,,,,,,,,,
dpad_E,normal,,,,,,,,,
dpad_SE,normal,,,,,,,,,
dpad_S,normal,,,,,,,,,
dpad_SW,normal,,,,,,,,,
dpad_W,normal,,,,,,,,,
dpad_NW,normal,,,,,,,,,
left_joy_left,normal,left,,,,,,,,
left_joy_right,normal,right,,,,,,,,
left_joy_up,normal,up,,,,,,,,
left_joy_down,normal,down,,,,,,,,
right_joy_left,normal,,,,,,,,,
right_joy_right,normal,,,,,,,,,
right_joy_up,normal,,,,,,,,,
right_joy_down,normal,,,,,,,,,
left_1,normal,mp_left_sip,,,,,,,,
left_2,normal,mp_left_puff,,,,,,,,
left_3,normal,mp_left_center_sip,,,,,,,,
right_1,normal,mp_right_sip,,,,,,,,
right_2,normal,mp_right_puff,,,,,,,,
right_3,normal,mp_right_center_sip,,,,,,,,
x,normal,lip,,,,,,,,
circle,normal,mp_center_puff,,,,,,,,
square,normal,mp_center_sip,,,,,,,,
triangle,normal,mp_right_center_puff,,,,,,,,
select,normal,mp_left_sip_soft,,,,,,,,Share or Create
ps3,normal,mp_center_sip_soft,,,,,,,,Home or Guide or PS
start,normal,mp_right_sip_soft,,,,,,,,Options
touch,normal,mp_left_puff_soft,,,,,,,,Press Touchpad or Capture
